commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0550d3f7907c635744c08ad8ff9c45e1b6281cc7;0550d3f7;-;-;Mon Jun 21 15:16:58 2021 +0200;1624281418;-;-;Mon Jun 21 15:16:58 2021 +0200;1624281418
9ba46d8618f988bb124f0cb8df23dac84da5c386;9ba46d86;-;-;Mon Jun 21 15:16:32 2021 +0200;1624281392;-;-;Mon Jun 21 15:16:32 2021 +0200;1624281392
5a732b04278a983d32856c75ad552f2dcbbd922d;5a732b04;-;-;Thu Oct 29 16:31:19 2020 +0100;1603985479;-;-;Thu Oct 29 16:31:19 2020 +0100;1603985479
696ebd06c9311b814428d7ebc2b3a44b19b49ce7;696ebd06;-;-;Thu Oct 29 16:30:36 2020 +0100;1603985436;-;-;Thu Oct 29 16:30:36 2020 +0100;1603985436
8c92fcdd2ed21a9e29b8aa4c392ca3281fd5e2e7;8c92fcdd;-;-;Mon Sep 21 17:53:08 2020 +0300;1600699988;-;-;Mon Sep 21 17:53:08 2020 +0300;1600699988
8e4dccf3f8ea76a3ff4d84079054bb8cb2af6602;8e4dccf3;-;-;Tue May 26 07:39:12 2020 +0200;1590471552;-;-;Tue May 26 07:39:12 2020 +0200;1590471552
423fc679a336b84d7a74244eab50c318250306ff;423fc679;-;-;Tue May 12 12:39:16 2020 +0200;1589279956;-;-;Tue May 12 12:39:16 2020 +0200;1589279956
f7509d54d64459fb8272f519ff124037b749df46;f7509d54;-;-;Thu Mar 5 09:23:41 2020 +0100;1583396621;-;-;Thu Mar 5 09:23:41 2020 +0100;1583396621
13b2f68b134a91fd09bfa826a2170d6f07b4a8c4;13b2f68b;-;-;Thu Feb 13 23:36:32 2020 +0200;1581629792;-;-;Thu Feb 13 23:36:32 2020 +0200;1581629792
05f658d4bd32a95a89cbd5a6de1fc40b1fba08c2;05f658d4;-;-;Wed Feb 12 11:14:20 2020 +0100;1581502460;-;-;Wed Feb 12 11:14:20 2020 +0100;1581502460
9347dd1af75971cc6027cdf915df6713f7a80d2c;9347dd1a;-;-;Sun Feb 9 07:34:02 2020 +0200;1581226442;-;-;Sun Feb 9 07:34:02 2020 +0200;1581226442
