commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
839917a60982e30bf5ad8d1cb1f2e77b470c1614;839917a60;-;-;Sat Aug 14 18:04:48 2021 +0800;1628935488;-;-;Sat Aug 14 12:04:48 2021 +0200;1628935488
94743c1d07d576af87a899a0c0af0cdf036aa26b;94743c1d0;-;-;Sat Aug 14 11:46:48 2021 +0200;1628934408;-;-;Sat Aug 14 11:46:48 2021 +0200;1628934408
b7f66c8aff0e6f1328c7c7e3d445279197d056b3;b7f66c8af;-;-;Mon Aug 9 09:34:56 2021 +0200;1628494496;-;-;Mon Aug 9 09:34:56 2021 +0200;1628494496
38341b5fa322d0d6a1f76cf065831978dba0e0a5;38341b5fa;-;-;Wed Aug 4 17:10:47 2021 +0800;1628068247;-;-;Wed Aug 4 11:10:47 2021 +0200;1628068247
5b0dd58a8580939754d51c5d132e3978d99ce04c;5b0dd58a8;-;-;Mon Aug 2 12:55:00 2021 +0200;1627901700;-;-;Mon Aug 2 12:55:00 2021 +0200;1627901700
e24e725c1888be636b5d9dd875df84fdfaa05ca8;e24e725c1;-;-;Mon Jul 26 09:05:18 2021 +0200;1627283118;-;-;Mon Jul 26 09:05:18 2021 +0200;1627283118
40ca8eff4a0d6559258489cf282471f5e3b1a229;40ca8eff4;-;-;Sat Jul 24 18:35:45 2021 +0200;1627144545;-;-;Sat Jul 24 18:35:45 2021 +0200;1627144545
75e7e5010279b535de2b957961d3da561255ebaa;75e7e5010;-;-;Fri Jul 23 02:42:13 2021 -0400;1627022533;-;-;Fri Jul 23 08:42:13 2021 +0200;1627022533
bb814d2064e061d27cbdcd1ac64528d96f97feea;bb814d206;-;-;Thu Jul 22 17:44:45 2021 +0200;1626968685;-;-;Thu Jul 22 17:44:45 2021 +0200;1626968685
a463d248145d55fc0d0833d192ee11b254012855;a463d2481;-;-;Tue Jul 20 08:13:45 2021 +0200;1626761625;-;-;Tue Jul 20 08:13:45 2021 +0200;1626761625
66fd701417563fd21c24c177447c332191931dc4;66fd70141;-;-;Sat Jul 17 12:53:55 2021 +0200;1626519235;-;-;Sat Jul 17 12:53:55 2021 +0200;1626519235
a9e0a8ab68ef9e385e4a639bd70769ca42e6f21a;a9e0a8ab6;-;-;Sat Jul 17 09:13:09 2021 +0200;1626505989;-;-;Sat Jul 17 09:13:09 2021 +0200;1626505989
333094355a19a6fb1b9f88d30bb68534504fac3c;333094355;-;-;Fri Jul 16 07:32:35 2021 +0100;1626417155;-;-;Fri Jul 16 08:32:35 2021 +0200;1626417155
c5883dcb390ebb17a484871038e37078e210052a;c5883dcb3;-;-;Wed Jul 7 09:23:29 2021 +0200;1625642609;-;-;Wed Jul 7 09:23:29 2021 +0200;1625642609
