commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
ddc500d1d635dc99003517de8b6e56748367f486;ddc500d1;-;-;Mon Aug 16 15:06:39 2021 -0400;1629140799;-;-;Mon Aug 16 15:06:39 2021 -0400;1629140799
a0aa666960133d659c5da196c183a2aa2db70332;a0aa6669;-;-;Mon Aug 16 15:06:24 2021 -0400;1629140784;-;-;Mon Aug 16 15:06:24 2021 -0400;1629140784
10e97c60fd7da2a4cb6f49dd6a894ec10779f9f3;10e97c60;-;-;Mon Aug 16 15:05:18 2021 -0400;1629140718;-;-;Mon Aug 16 15:05:18 2021 -0400;1629140718
7e56ffa0625bc44cc8bdb537be8483fb2d49f585;7e56ffa0;-;-;Thu Aug 12 10:29:24 2021 +0800;1628735364;-;-;Wed Aug 11 22:29:24 2021 -0400;1628735364
372e8ba81f6cd219267d3ecb0e0c5732c08bdc6c;372e8ba8;-;-;Thu Aug 12 09:34:42 2021 +0800;1628732082;-;-;Wed Aug 11 21:34:42 2021 -0400;1628732082
bf6a22f28e9580d31ed2122d6bfd1203f502d778;bf6a22f2;-;-;Wed Aug 11 14:31:26 2021 -0400;1628706686;-;-;Wed Aug 11 14:31:26 2021 -0400;1628706686
fc8b25f8a87dff3a83625c59af16a90a143f1772;fc8b25f8;-;-;Tue Aug 10 12:52:02 2021 -0400;1628614322;-;-;Tue Aug 10 12:52:02 2021 -0400;1628614322
8ce950f53f25f5ddcc3791e2be37eafb20fc7d1e;8ce950f5;-;-;Tue Aug 10 08:55:37 2021 -0400;1628600137;-;-;Tue Aug 10 08:55:37 2021 -0400;1628600137
0e9f7e3659682e801c405307f9d1d5e95c965eef;0e9f7e36;-;-;Tue Aug 10 20:54:41 2021 +0800;1628600081;-;-;Tue Aug 10 08:54:41 2021 -0400;1628600081
caa69a63afebc839cfadb77a6e2563a71665e25a;caa69a63;-;-;Fri Aug 6 21:53:51 2021 -0400;1628301231;-;-;Fri Aug 6 21:53:51 2021 -0400;1628301231
b8f49e535182ac63e310371ce9441499a5b8dd71;b8f49e53;-;-;Fri Aug 6 20:56:30 2021 -0400;1628297790;-;-;Fri Aug 6 20:56:30 2021 -0400;1628297790
6898aa75dd5f1bfe040f155350d87a12372fbfd4;6898aa75;-;-;Fri Aug 6 21:48:48 2021 +0200;1628279328;-;-;Fri Aug 6 15:48:48 2021 -0400;1628279328
5e63603ecd1e821d42f8cc6276f114921d744bbe;5e63603e;-;-;Fri Aug 6 15:29:19 2021 -0400;1628278159;-;-;Fri Aug 6 15:29:19 2021 -0400;1628278159
a634c92fccdabaf0e522e6b83a6a5ed54ab65732;a634c92f;-;-;Wed Jul 14 11:42:48 2021 -0400;1626277368;-;-;Wed Jul 14 11:42:48 2021 -0400;1626277368
626926c0c5afb40f031e4bf1e9ee39036b7c0c8a;626926c0;-;-;Wed Jul 14 09:20:53 2021 -0400;1626268853;-;-;Wed Jul 14 09:20:53 2021 -0400;1626268853
09c6d1da3780eebe4c1411739c3ce88f9078c52d;09c6d1da;-;-;Tue Jul 13 10:58:36 2021 -0400;1626188316;-;-;Tue Jul 13 10:58:36 2021 -0400;1626188316
b33d43daf31e7559e79a40ddbcaf79b7e5c064d6;b33d43da;-;-;Tue Jul 13 08:48:23 2021 -0400;1626180503;-;-;Tue Jul 13 08:48:23 2021 -0400;1626180503
9bcde1549a15e2a1c3e59b3a8b469f5157ceb686;9bcde154;-;-;Thu Jun 24 15:20:04 2021 -0400;1624562404;-;-;Thu Jun 24 15:20:04 2021 -0400;1624562404
fbf1225e28e2094bec35f587b8933748b705d167;fbf1225e;-;-;Wed Feb 24 08:08:49 2021 -0500;1614172129;-;-;Wed Feb 24 08:08:49 2021 -0500;1614172129
2583d360fa39792f87faf7f69afefaadf3944536;2583d360;-;-;Thu Dec 10 10:01:14 2020 -0500;1607612474;-;-;Thu Dec 10 10:01:14 2020 -0500;1607612474
7128bf34c649daca5977b1fbf93f0278fab4267c;7128bf34;-;-;Mon Nov 2 10:53:22 2020 -0500;1604332402;-;-;Mon Nov 2 10:53:22 2020 -0500;1604332402
68126409cf93d58f65fc960f72817343053759ba;68126409;-;-;Mon Oct 19 21:29:53 2020 -0400;1603157393;-;-;Mon Oct 19 21:29:53 2020 -0400;1603157393
576f23dae73814b23787322d8f663c4421af8939;576f23da;-;-;Tue Sep 15 11:56:31 2020 -0400;1600185391;-;-;Tue Sep 15 11:56:31 2020 -0400;1600185391
65de04d1da61f9e8124956f6fff8902fc81d05e2;65de04d1;-;-;Wed Jun 17 23:18:03 2020 -0400;1592450283;-;-;Wed Jun 17 23:18:03 2020 -0400;1592450283
9e597f2525d6ff0c06b2e836869a0328a2e0b388;9e597f25;-;-;Wed Jun 10 08:24:46 2020 -0400;1591791886;-;-;Wed Jun 10 08:24:46 2020 -0400;1591791886
bc119896a328cb314df279b26cc68eebd19c4b31;bc119896;-;-;Sat May 30 07:49:09 2020 -0400;1590839349;-;-;Sat May 30 07:49:09 2020 -0400;1590839349
c6f21c3c3cd0b101e924bd2ba11a4774a3d96695;c6f21c3c;-;-;Fri May 29 21:48:32 2020 -0400;1590803312;-;-;Fri May 29 21:48:32 2020 -0400;1590803312
96f68b5242c32f8509277a2d932108ca6bd17222;96f68b52;-;-;Tue May 26 08:27:02 2020 -0400;1590496022;-;-;Tue May 26 08:27:02 2020 -0400;1590496022
f62316b74b862900abcd1ed1d5a12d01b01d3a3b;f62316b7;-;-;Sat May 23 22:48:56 2020 -0400;1590288536;-;-;Sat May 23 22:48:56 2020 -0400;1590288536
b1a903eb74691c86ff837c4bc88d0bc30f146b87;b1a903eb;-;-;Wed May 20 12:25:37 2020 -0400;1589991937;-;-;Wed May 20 12:25:37 2020 -0400;1589991937
bd33a5da186aa6f5365e78e27eb0292b1b8b1bff;bd33a5da;-;-;Wed May 20 12:16:17 2020 -0400;1589991377;-;-;Wed May 20 12:16:17 2020 -0400;1589991377
762f59009b2b0c84fdeeed00d6174c53a3b57f59;762f5900;-;-;Wed May 20 12:12:59 2020 -0400;1589991179;-;-;Wed May 20 12:12:59 2020 -0400;1589991179
87966950ed14ba06c59d8063f884aa2bcc7dbb01;87966950;-;-;Wed May 20 12:05:35 2020 -0400;1589990735;-;-;Wed May 20 12:05:35 2020 -0400;1589990735
ab1d46dd871decf8432b49c238806785cbfcc845;ab1d46dd;-;-;Wed May 20 11:46:25 2020 -0400;1589989585;-;-;Wed May 20 11:46:25 2020 -0400;1589989585
